iter	Passed	Remaining
0	162	162464
1	163	81441
2	163	54423
3	164	40907
4	164	32804
5	165	27405
6	165	23541
7	166	20645
8	167	18394
9	167	16591
10	168	15112
11	168	13879
12	169	12835
13	169	11943
14	170	11168
15	170	10490
16	171	9894
17	171	9362
18	172	8885
19	172	8458
20	173	8070
21	173	7717
22	174	7395
23	174	7101
24	175	6829
25	175	6578
26	176	6346
27	176	6130
28	177	5930
29	177	5742
30	178	5567
31	178	5402
32	179	5247
33	179	5103
34	180	4966
35	180	4836
36	181	4713
37	181	4598
38	182	4489
39	182	4384
40	183	4284
41	183	4190
42	184	4099
43	184	4013
44	185	3930
45	185	3852
46	186	3777
47	186	3704
48	187	3635
49	187	3568
50	188	3503
51	188	3442
52	189	3383
53	189	3325
54	190	3271
55	190	3218
56	191	3166
57	191	3117
58	192	3069
59	192	3022
60	193	2977
61	193	2934
62	194	2891
63	194	2850
64	195	2811
65	195	2772
66	196	2735
67	196	2697
68	197	2661
69	197	2628
70	198	2595
71	198	2562
72	199	2531
73	199	2500
74	200	2470
75	200	2441
76	201	2413
77	201	2386
78	202	2359
79	202	2333
80	203	2307
81	203	2282
82	204	2257
83	204	2233
84	205	2208
85	205	2185
86	206	2161
87	206	2140
88	207	2119
89	207	2098
90	208	2078
91	208	2058
92	209	2039
93	209	2020
94	210	2001
95	210	1982
96	211	1965
97	211	1948
98	212	1931
99	212	1915
100	213	1899
101	213	1881
102	214	1865
103	214	1850
104	215	1834
105	215	1819
106	216	1805
107	216	1790
108	217	1776
109	217	1763
110	218	1749
111	218	1735
112	219	1722
113	220	1709
114	220	1697
115	220	1683
116	221	1671
117	221	1658
118	222	1646
119	222	1634
120	223	1622
121	223	1611
122	224	1598
123	224	1586
124	225	1576
125	225	1566
126	226	1555
127	226	1544
128	227	1533
129	227	1523
130	228	1514
131	228	1504
132	229	1494
133	229	1485
134	230	1476
135	230	1466
136	231	1457
137	231	1447
138	232	1438
139	232	1429
140	233	1421
141	233	1412
142	234	1404
143	234	1395
144	235	1387
145	235	1379
146	236	1371
147	236	1363
148	237	1355
149	237	1347
150	238	1340
151	238	1332
152	239	1325
153	239	1318
154	240	1311
155	241	1304
156	241	1297
157	242	1290
158	242	1282
159	243	1276
160	243	1269
161	244	1262
162	244	1256
163	245	1249
164	245	1243
165	246	1236
166	246	1230
167	247	1223
168	247	1217
169	248	1211
170	248	1205
171	249	1199
172	249	1193
173	250	1187
174	250	1181
175	251	1175
176	251	1170
177	252	1164
178	252	1158
179	253	1153
180	253	1146
181	253	1141
182	254	1136
183	254	1130
184	255	1125
185	255	1120
186	256	1115
187	256	1109
188	257	1104
189	257	1099
190	258	1094
191	258	1089
192	259	1084
193	259	1079
194	260	1075
195	260	1070
196	261	1065
197	261	1060
198	262	1056
199	262	1051
200	263	1046
201	263	1042
202	264	1038
203	264	1033
204	265	1029
205	265	1024
206	266	1020
207	266	1016
208	267	1011
209	267	1007
210	268	1003
211	268	999
212	269	995
213	270	991
214	270	987
215	271	984
216	271	980
217	272	976
218	272	972
219	273	969
220	273	965
221	274	962
222	275	958
223	275	954
224	276	951
225	276	947
226	277	944
227	277	940
228	278	936
229	278	933
230	279	930
231	280	926
232	280	923
233	281	920
234	281	916
235	282	913
236	282	910
237	283	906
238	283	903
239	284	900
240	284	896
241	285	893
242	285	890
243	286	887
244	286	883
245	287	880
246	287	877
247	288	874
248	288	871
249	289	867
250	289	864
251	290	861
252	290	858
253	291	855
254	291	852
255	292	849
256	292	846
257	293	843
258	293	840
259	294	837
260	294	834
261	295	831
262	295	828
263	296	825
264	296	822
265	297	820
266	297	817
267	298	815
268	299	812
269	299	809
270	300	807
271	300	804
272	301	802
273	301	799
274	302	797
275	302	794
276	303	791
277	304	789
278	304	787
279	305	784
280	305	782
281	306	779
282	306	777
283	307	774
284	307	772
285	308	769
286	308	767
287	309	765
288	310	762
289	310	760
290	311	758
291	311	756
292	312	754
293	313	752
294	313	749
295	314	747
296	314	745
297	315	743
298	316	741
299	316	738
300	317	736
301	317	734
302	318	732
303	319	730
304	319	728
305	320	726
306	320	724
307	321	722
308	321	719
309	322	717
310	323	715
311	323	713
312	324	712
313	324	709
314	325	708
315	326	706
316	326	704
317	327	702
318	327	700
319	328	698
320	329	696
321	329	694
322	330	692
323	330	690
324	331	688
325	332	686
326	332	684
327	333	682
328	333	680
329	334	678
330	334	676
331	335	675
332	336	673
333	336	671
334	337	669
335	337	667
336	338	665
337	339	664
338	339	662
339	340	660
340	340	658
341	341	657
342	342	655
343	342	653
344	343	651
345	343	649
346	344	648
347	345	646
348	345	644
349	346	643
350	346	641
351	347	639
352	347	637
353	348	635
354	348	634
355	349	632
356	350	630
357	350	629
358	351	627
359	351	625
360	352	624
361	353	622
362	353	620
363	354	619
364	355	618
365	356	616
366	356	615
367	357	613
368	357	611
369	358	610
370	359	608
371	359	607
372	360	605
373	360	604
374	361	602
375	362	600
376	362	599
377	363	597
378	363	596
379	364	594
380	364	592
381	365	591
382	366	589
383	366	588
384	367	586
385	368	586
386	369	584
387	369	583
388	370	581
389	370	580
390	371	578
391	372	577
392	372	575
393	373	574
394	373	572
395	374	571
396	375	569
397	375	568
398	376	567
399	377	565
400	377	564
401	378	562
402	378	561
403	379	559
404	380	558
405	380	557
406	381	555
407	382	554
408	382	553
409	383	551
410	384	550
411	384	549
412	385	547
413	386	546
414	386	545
415	388	544
416	388	543
417	389	542
418	390	540
419	390	539
420	391	538
421	392	537
422	392	535
423	393	534
424	394	533
425	395	532
426	395	531
427	396	529
428	397	528
429	397	527
430	398	526
431	399	524
432	399	523
433	400	522
434	401	521
435	401	519
436	402	518
437	402	517
438	403	515
439	404	514
440	405	513
441	405	512
442	406	511
443	407	509
444	407	508
445	408	507
446	409	506
447	410	505
448	410	504
449	411	503
450	412	501
451	413	500
452	413	499
453	414	498
454	415	497
455	415	496
456	416	495
457	417	493
458	418	492
459	418	491
460	419	490
461	420	489
462	421	488
463	422	487
464	422	486
465	423	485
466	424	484
467	425	483
468	425	482
469	426	481
470	427	479
471	427	478
472	428	477
473	429	476
474	430	475
475	430	474
476	431	472
477	431	471
478	432	470
479	433	469
480	434	468
481	434	467
482	435	466
483	436	465
484	436	463
485	437	462
486	438	461
487	438	460
488	439	459
489	440	457
490	440	456
491	441	455
492	442	454
493	442	453
494	443	452
495	444	451
496	444	450
497	445	449
498	446	447
499	446	446
500	447	445
